Ball No,Over,Bowler Name,Batter Name,Ball Type,Shot Type,Speed of Ball,Runs Scored
18.16McCoy,18,18.16McCoy,Gill,Unknown,boundary,N/A,6
17.62Ashwin,17,17.62Ashwin,Miller,Unknown,double,N/A,2
17.51Ashwin,17,17.51Ashwin,Gill,Unknown,single,N/A,1
17.4•Ashwin,17,17.4•Ashwin,Gill,Unknown,dot,N/A,0
17.31Ashwin,17,17.31Ashwin,Miller,Unknown,single,N/A,1
17.21Ashwin,17,17.21Ashwin,Gill,Unknown,single,N/A,1
17.1•Ashwin,17,17.1•Ashwin,Gill,Unknown,dot,N/A,0
16.62Prasidh,16,16.62Prasidh,Miller,Unknown,double,N/A,2
16.54Prasidh,16,16.54Prasidh,Miller,Unknown,boundary,N/A,4
16.51wPrasidh,16,16.51wPrasidh,Miller,Unknown,other,N/A,unknown
16.44Prasidh,16,16.44Prasidh,Miller,Unknown,boundary,N/A,4
16.3•Prasidh,16,16.3•Prasidh,Miller,Unknown,dot,N/A,0
16.22Prasidh,16,16.22Prasidh,Miller,Unknown,double,N/A,2
16.1•Prasidh,16,16.1•Prasidh,Miller,Unknown,dot,N/A,0
15.61Ashwin,15,15.61Ashwin,Miller,Unknown,single,N/A,1
15.51Ashwin,15,15.51Ashwin,Gill,Unknown,single,N/A,1
15.41Ashwin,15,15.41Ashwin,Miller,Unknown,single,N/A,1
15.36Ashwin,15,15.36Ashwin,Miller,Unknown,boundary,N/A,6
15.21Ashwin,15,15.21Ashwin,Gill,Unknown,single,N/A,1
15.12Ashwin,15,15.12Ashwin,Gill,Unknown,double,N/A,2
