country,Afghanistan,Angola,Albania,Andorra,UAE,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,India
1800,3.28M,1.57M,400k,2650,40.2k,534k,413k,37k,200k,3M,880k,899k,3.25M,637k,1.67M,19.2M,201M
1801,3.28M,1.57M,402k,2650,40.2k,520k,413k,37k,205k,3.02M,880k,899k,3.26M,637k,1.67M,19.2M,201M
1802,3.28M,1.57M,404k,2650,40.2k,506k,413k,37k,211k,3.04M,880k,899k,3.27M,637k,1.67M,19.3M,202M
1803,3.28M,1.57M,405k,2650,40.2k,492k,413k,37k,216k,3.05M,880k,899k,3.28M,637k,1.67M,19.3M,202M
1804,3.28M,1.57M,407k,2650,40.2k,479k,413k,37k,222k,3.07M,880k,899k,3.29M,637k,1.67M,19.3M,202M
1805,3.28M,1.57M,409k,2650,40.2k,466k,413k,37k,227k,3.09M,880k,899k,3.3M,637k,1.67M,19.4M,203M
1806,3.28M,1.57M,411k,2650,40.2k,453k,413k,37k,233k,3.11M,880k,899k,3.3M,637k,1.67M,19.4M,203M
1807,3.28M,1.57M,413k,2650,40.2k,441k,413k,37k,239k,3.12M,880k,899k,3.31M,637k,1.67M,19.5M,204M
1808,3.28M,1.57M,414k,2650,40.2k,429k,413k,37k,246k,3.14M,880k,899k,3.32M,637k,1.67M,19.5M,204M
1809,3.28M,1.57M,416k,2650,40.2k,417k,413k,37k,252k,3.16M,880k,899k,3.33M,637k,1.67M,19.5M,204M
1810,3.28M,1.57M,418k,2650,40.2k,420k,413k,37k,259k,3.18M,880k,899k,3.34M,637k,1.67M,19.6M,205M
1811,3.28M,1.57M,420k,2650,40.2k,422k,413k,37k,265k,3.2M,880k,899k,3.35M,637k,1.67M,19.6M,205M
1812,3.28M,1.57M,422k,2650,40.2k,429k,413k,37k,272k,3.22M,880k,899k,3.36M,637k,1.67M,19.7M,206M
1813,3.28M,1.57M,424k,2650,40.2k,441k,413k,37k,279k,3.24M,880k,899k,3.37M,637k,1.67M,19.7M,206M
1814,3.28M,1.57M,426k,2650,40.2k,453k,413k,37k,287k,3.25M,880k,899k,3.38M,637k,1.67M,19.8M,207M
1815,3.28M,1.57M,427k,2650,40.2k,466k,413k,37k,294k,3.27M,880k,899k,3.39M,637k,1.67M,19.8M,207M
1816,3.28M,1.57M,429k,2650,40.2k,479k,413k,37k,302k,3.29M,880k,899k,3.4M,637k,1.67M,19.9M,208M
1817,3.28M,1.57M,431k,2650,40.2k,492k,413k,37k,309k,3.31M,880k,899k,3.41M,637k,1.67M,19.9M,208M
1818,3.28M,1.57M,433k,2650,40.2k,506k,413k,37k,318k,3.33M,880k,899k,3.42M,637k,1.67M,20M,209M
1819,3.28M,1.57M,435k,2660,40.2k,519k,414k,37k,324k,3.35M,882k,902k,3.43M,637k,1.67M,20M,209M
1820,3.29M,1.58M,437k,2670,40.2k,531k,416k,37k,329k,3.37M,885k,907k,3.45M,639k,1.67M,20.1M,210M
1821,3.3M,1.59M,439k,2680,40.2k,542k,418k,37k,332k,3.39M,890k,916k,3.47M,642k,1.67M,20.1M,210M
1822,3.31M,1.61M,441k,2690,40.2k,553k,421k,37k,333k,3.4M,896k,927k,3.5M,646k,1.68M,20.2M,211M
1823,3.32M,1.64M,443k,2710,40.2k,562k,425k,37k,333k,3.42M,904k,941k,3.53M,651k,1.68M,20.3M,212M
